"Age","DailyRate","DistanceFromHome","Education","EnvironmentSatisfaction","HourlyRate","JobInvolvement","JobSatisfaction","MonthlyIncome","MonthlyRate","NumCompaniesWorked","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TrainingTimesLastYear","WorkLifeBalance","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","JobLevel","PercentSalaryHike","TotalWorkingYears","YearsAtCompany","BusinessTravel_Non-Travel","BusinessTravel_Travel_Frequently","BusinessTravel_Travel_Rarely","Department_Human Resources","Department_Research & Development","Department_Sales","EducationField_Human Resources","EducationField_Life Sciences","EducationField_Marketing","EducationField_Medical","EducationField_Other","EducationField_Technical Degree","Gender_Female","Gender_Male","JobRole_Healthcare Representative","JobRole_Human Resources","JobRole_Laboratory Technician","JobRole_Manager","JobRole_Manufacturing Director","JobRole_Research Director","JobRole_Research Scientist","JobRole_Sales Executive","JobRole_Sales Representative","MaritalStatus_Divorced","MaritalStatus_Married","MaritalStatus_Single","OverTime_No","OverTime_Yes","Attrition"
47,1454,2,4,4,65,2,4,3294,13137,1,3,1,0,3,2,2,1,2,1,18,3,3,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,"No"
24,350,21,2,3,57,2,1,2296,10036,0,3,2,3,3,3,1,0,0,1,14,2,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,"No"
47,571,14,3,3,78,3,3,4591,24200,3,3,3,1,4,2,4,1,2,2,17,11,5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,"No"
29,1246,19,3,3,77,2,3,8620,23757,1,3,3,2,3,3,7,0,4,2,14,10,10,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,"No"
30,721,1,2,3,58,3,4,4011,10781,1,4,4,0,2,3,8,3,7,2,23,12,12,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,"No"
40,658,10,4,1,67,2,2,9705,20652,2,3,2,1,2,2,0,0,0,3,12,11,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,"No"
46,734,2,4,3,46,3,4,19328,14218,7,3,3,1,3,3,1,2,2,5,17,24,2,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"No"
37,1189,3,3,3,87,3,4,7428,14506,2,3,1,0,3,3,3,1,3,3,12,12,5,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,"No"
45,1249,7,3,1,97,3,1,5210,20308,1,3,1,1,2,3,9,9,11,3,18,24,24,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,"No"
42,635,1,1,2,99,3,3,4907,24532,1,4,3,0,3,3,16,11,6,2,25,20,20,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,"No"
42,1265,3,3,3,95,4,4,5231,23726,2,3,2,1,1,2,3,1,3,2,13,17,5,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,"No"
24,1476,4,1,4,42,3,3,4162,15211,1,3,3,2,3,3,4,0,3,2,12,5,5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,"No"
38,1189,1,3,4,90,3,4,4735,9867,7,3,4,2,4,4,11,2,9,2,15,19,13,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,"No"
29,1010,1,3,1,97,3,4,3760,5598,1,3,1,3,5,3,2,1,2,1,15,3,3,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,"No"
39,1498,21,4,1,44,2,4,6120,3567,3,3,4,2,2,4,4,1,4,2,12,8,5,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,"No"
39,1387,10,5,2,76,3,1,5377,3835,2,3,4,3,3,3,7,7,7,2,13,10,7,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,"No"
43,1001,9,5,4,72,3,3,5679,19627,3,3,2,1,3,3,7,4,7,2,13,10,8,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,"No"
40,692,11,3,4,73,3,3,6323,26849,1,3,1,1,2,4,9,9,4,2,11,10,10,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,"No"
36,635,18,1,2,73,3,4,2153,7703,1,3,1,0,2,3,1,1,7,1,13,8,8,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,"No"
43,1082,27,3,3,83,3,1,10820,11535,8,3,3,1,1,3,7,0,1,3,11,18,8,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,"No"
60,696,7,4,2,52,4,4,5220,10893,0,3,2,1,3,3,7,1,9,2,18,12,11,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,"No"
23,541,2,1,3,62,3,1,2322,9518,3,3,3,1,3,3,0,0,0,1,13,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,"No"
45,538,1,4,1,66,3,2,7441,20933,1,3,1,3,4,3,8,7,7,3,12,10,10,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,"No"
37,589,9,2,2,46,2,2,4189,8800,1,3,1,2,2,3,2,0,3,2,14,5,5,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,"No"
18,1431,14,3,2,33,3,3,1514,8018,1,3,3,0,4,1,0,0,0,1,16,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,"No"
44,1199,4,2,3,92,4,1,19190,17477,1,3,4,2,4,2,9,14,13,5,14,26,25,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,"No"
58,848,23,4,1,88,3,3,2372,26076,1,3,4,2,3,3,2,2,2,1,12,2,2,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,"No"
44,1099,5,3,2,88,3,2,18213,8751,7,3,3,1,5,3,9,3,10,5,11,26,22,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,"No"
38,1490,2,2,4,42,3,4,1702,12106,1,4,3,1,3,3,0,0,0,1,23,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,"No"
31,1079,10,2,3,86,3,4,6583,20115,2,3,4,1,2,3,2,1,4,2,11,8,5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,"No"
30,946,2,3,3,52,2,4,6877,20234,5,4,2,0,4,2,0,0,0,2,24,12,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,"No"
38,362,1,1,3,43,3,1,2619,14561,3,3,4,0,3,2,0,0,0,1,17,8,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,"No"
29,468,28,4,4,73,2,1,3785,8489,1,3,2,0,3,1,4,0,4,1,14,5,5,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,"No"
35,1276,16,3,4,72,3,3,7632,14295,4,3,3,0,2,3,7,0,0,3,12,10,8,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,"No"
30,1398,22,4,3,69,3,1,8412,2890,0,3,3,0,3,3,8,7,8,3,11,10,9,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,"No"
51,833,1,3,3,96,3,4,2723,23231,1,3,2,0,0,2,0,0,0,1,11,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,"No"
37,342,16,4,4,66,2,3,6334,24558,4,3,4,2,2,3,0,0,0,2,19,9,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,"No"
47,249,2,2,3,35,3,4,4537,17783,0,4,1,1,2,3,6,7,7,2,22,8,7,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,"No"
34,735,22,4,3,86,2,4,5747,26496,1,3,2,0,3,3,10,6,11,2,15,16,15,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,"No"
28,791,1,4,4,44,3,3,2154,6842,0,3,3,0,2,2,2,0,2,1,11,5,4,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,"No"
36,884,23,2,3,41,4,4,2571,12290,4,3,3,1,3,3,2,0,3,2,17,17,5,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,"No"
35,750,28,3,2,46,4,3,3407,25348,1,3,4,2,3,2,9,6,8,2,17,10,10,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,"No"
29,1090,10,3,4,83,3,2,2297,17967,1,3,4,2,2,3,2,2,2,1,14,2,2,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,"No"
29,410,2,1,4,97,3,2,3180,4668,0,3,3,3,3,3,2,0,2,1,13,4,3,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,"No"
27,793,2,1,4,43,1,4,5071,20392,3,4,2,0,3,3,2,0,0,2,20,8,6,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,"No"
20,654,21,3,3,43,4,4,2678,5050,1,3,4,0,2,3,1,2,2,1,17,2,2,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,"No"
44,1117,2,1,1,72,4,4,2011,19982,1,3,4,1,5,3,5,7,7,1,13,10,10,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,"No"
26,1384,3,4,1,82,4,4,4420,13421,1,4,2,1,2,3,7,0,7,1,22,8,8,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,"No"
27,1410,3,1,4,71,4,4,4647,16673,1,4,2,2,3,3,5,0,4,2,20,6,6,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,"No"
37,124,3,3,4,35,3,2,4107,13848,3,3,1,0,3,2,3,0,1,2,15,8,4,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,"No"
38,1380,9,2,3,75,3,4,2288,6319,1,3,3,0,3,3,2,2,1,1,12,2,2,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,"No"
34,943,9,3,4,86,3,4,8500,5494,0,3,4,1,0,2,7,1,6,3,11,10,9,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,"No"
45,1385,20,2,3,79,3,4,13496,7501,0,3,2,0,2,3,7,4,10,4,14,21,20,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,"No"
31,480,7,2,2,31,3,1,4306,4156,1,3,2,1,5,1,10,3,12,2,12,13,13,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,"No"
36,635,10,4,2,32,3,4,9980,15318,1,3,4,0,3,2,3,9,7,3,14,10,10,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,"No"
37,671,19,3,3,85,3,3,5768,26493,3,3,1,3,2,2,3,0,2,2,17,9,4,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,"No"
32,1311,7,3,2,100,4,2,2794,26062,1,4,3,0,3,1,1,0,3,1,20,5,5,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,"No"
37,482,3,3,3,36,3,3,9434,9606,1,3,3,1,2,3,7,7,8,3,15,10,10,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,"No"
42,469,2,2,4,35,3,1,17665,14399,0,3,4,1,3,3,6,13,7,4,17,23,22,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,"No"
42,647,4,4,2,45,3,1,5155,2253,7,3,4,0,3,4,4,1,5,2,13,9,6,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,"No"
33,392,2,4,4,93,3,4,5505,3921,1,3,3,2,5,3,2,0,4,2,14,6,6,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,"No"
43,177,8,3,1,55,3,2,4765,23814,4,4,3,1,2,4,0,0,0,2,21,4,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,"No"
25,583,4,1,3,87,2,1,4256,18154,1,3,1,0,1,4,2,0,3,2,12,5,5,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,"No"
38,1186,3,4,3,44,3,3,2821,2997,3,3,1,1,2,3,2,2,2,1,16,8,2,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,"No"
35,195,1,3,1,80,3,3,4859,6698,1,3,4,0,3,3,4,0,3,2,16,5,5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,"No"
35,992,1,3,4,68,2,1,2450,21731,1,3,2,0,3,3,0,1,2,1,19,3,3,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,"No"
46,706,2,2,4,82,3,4,8578,19989,3,3,3,1,4,2,8,4,7,3,14,12,9,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,"No"
35,755,9,4,3,97,2,2,6540,19394,9,3,3,0,5,3,1,0,0,2,19,10,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,"No"
45,1038,20,3,2,95,1,1,10851,19863,2,3,2,1,2,3,7,0,7,3,18,24,7,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,"No"
37,1017,1,2,3,83,2,1,3920,18697,2,3,1,1,2,2,1,0,2,1,14,17,3,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,"No"
38,1206,9,2,2,71,3,4,4771,14293,2,3,4,2,0,4,2,0,3,1,19,10,5,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,"No"
28,736,26,3,3,48,2,1,4724,24232,1,3,3,1,0,3,3,0,4,2,11,5,5,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,"No"
48,1224,10,3,4,91,2,2,19665,13583,4,3,4,0,3,3,10,12,9,5,12,29,22,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,"No"
22,1136,5,3,4,60,4,2,2328,12392,1,3,1,1,2,2,2,2,2,1,16,4,4,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,"No"
36,1299,27,3,3,94,3,3,5237,16577,6,3,2,2,3,2,7,7,7,2,13,17,7,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"No"
32,976,26,4,3,100,3,4,4465,12069,0,3,1,0,2,3,2,2,2,2,18,4,3,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,"No"
34,1397,1,5,2,42,3,4,2691,7660,1,3,4,1,4,2,9,8,8,1,12,10,10,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,"No"
42,300,2,3,1,56,3,3,18880,17312,5,3,1,0,2,2,6,4,14,5,11,24,22,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,"No"
34,1442,9,3,4,46,2,2,8621,17654,1,3,2,0,3,4,7,7,7,3,14,9,8,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,"No"
35,185,23,4,2,91,1,3,2705,9696,0,3,2,1,2,4,4,0,3,1,16,6,5,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,"No"
50,989,7,2,2,43,2,3,18740,16701,5,3,4,1,2,2,3,13,8,5,12,29,27,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"No"
44,1315,3,4,4,35,3,4,19513,9358,4,3,1,1,2,4,2,0,1,5,12,26,2,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,"No"
45,1038,20,3,2,95,1,1,10851,19863,2,3,2,1,2,3,7,0,7,3,18,24,7,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,"No"
31,1463,23,3,2,64,2,4,5582,14408,0,4,2,1,2,3,0,7,8,2,21,10,9,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"No"
36,1403,6,3,4,47,3,4,3210,20251,0,3,3,1,4,3,13,10,11,1,11,16,15,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,"No"
32,906,7,3,4,91,2,3,5484,16985,1,3,3,1,3,2,8,4,8,2,14,13,13,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,"No"
36,164,2,2,2,61,2,3,7596,3809,1,3,2,2,2,3,9,9,0,3,13,10,10,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,"No"
31,1276,2,1,4,59,1,4,1129,17536,1,3,3,3,4,3,0,0,0,1,11,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,"No"
29,1370,3,1,2,87,3,1,4723,16213,1,3,4,0,3,3,9,1,5,1,18,10,10,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,"No"
36,1174,3,4,1,99,3,2,9278,20763,3,3,4,0,3,3,4,0,1,2,16,15,5,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,"No"
56,1240,9,3,1,63,3,3,2942,12154,2,3,2,1,4,3,4,0,3,1,19,18,5,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,"No"
53,1376,2,2,3,45,3,3,14852,13938,6,3,3,1,3,4,13,15,2,4,13,22,17,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,"No"
48,1469,20,4,4,51,3,3,2259,5543,4,3,1,2,2,2,0,0,0,1,17,13,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,"No"
32,634,5,4,2,35,4,4,3312,18783,3,3,4,2,3,3,2,0,2,1,17,6,3,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,"No"
33,501,15,2,2,95,3,4,4878,21653,0,3,1,1,6,3,7,8,1,2,13,10,9,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,"No"
36,1174,3,4,1,99,3,2,9278,20763,3,3,4,0,3,3,4,0,1,2,16,15,5,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,"No"
30,201,5,3,4,84,3,1,3204,10415,5,3,4,1,3,3,2,2,2,1,14,8,3,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,"No"
27,472,1,1,3,60,2,1,4298,9679,5,3,3,1,1,3,2,2,0,2,19,6,2,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,"No"
49,464,16,3,4,74,3,1,2587,24941,4,3,2,1,2,2,2,2,2,1,16,17,2,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,"No"
38,693,7,3,4,57,4,3,2610,15748,1,3,4,3,2,3,2,0,3,1,11,4,4,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,"No"
34,628,8,3,2,82,4,3,4404,10228,2,3,1,0,3,4,3,1,2,2,12,6,4,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,"No"
54,1082,2,4,3,41,2,3,10686,8392,6,3,2,1,4,3,4,7,0,3,11,13,9,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,"No"
29,995,2,1,1,87,3,4,8853,24483,1,3,4,1,0,4,4,1,3,2,19,6,6,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,"No"
47,1309,4,1,2,99,3,3,2976,25751,3,3,1,0,3,3,0,0,0,2,19,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,"No"
45,1234,11,2,4,90,3,4,17650,5404,3,3,2,1,4,4,3,1,1,4,13,26,9,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,"No"
33,1099,4,4,1,82,2,2,3838,8192,8,3,4,0,5,3,4,0,2,1,11,8,5,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,"No"
36,676,1,3,3,35,3,2,5228,23361,0,3,1,1,2,3,7,0,5,2,15,10,9,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,"No"
32,1373,5,4,4,56,2,4,9679,10138,8,4,2,0,1,3,0,0,0,2,24,8,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,"No"
30,855,7,4,4,73,3,1,4779,12761,7,3,2,2,3,3,2,0,2,2,14,8,3,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,"No"
